
Respondent_ID,Age,Gender,City_Tier,Employment_Type,Monthly_Income_INR,Monthly_Expenses_INR,Savings_Percentage,Investment_Type,Has_Health_Insurance,Has_Life_Insurance,Has_Emergency_Fund,Debt_Status,Monthly_Debt_Payment_INR,Financial_Literacy_Score,Uses_Financial_Apps,Primary_Financial_Goal,Risk_Tolerance_Level,Savings_Channel,Region
370,54,Other,Tier 3,Salaried,86045,97939,13,Gold,Yes,No,Yes,Home Loan,40108,1,Yes,Wealth Accumulation,Low,Digital Wallet,North
371,52,Female,Tier 2,Student,183914,52674,22,Stocks,Yes,Yes,Yes,Credit Card Debt,26252,5,Yes,Wealth Accumulation,Medium,Cash,South
372,45,Male,Tier 1,Unemployed,159972,137572,47,Fixed Deposit,Yes,Yes,Yes,Home Loan,9487,9,Yes,Travel,Low,Digital Wallet,West
373,21,Female,Tier 3,Salaried,142992,39831,39,None,Yes,No,Yes,Credit Card Debt,47829,6,Yes,Wealth Accumulation,Medium,Digital Wallet,North
374,36,Male,Tier 1,Self-Employed,95059,67174,38,Cryptocurrency,No,Yes,Yes,No Debt,40403,10,No,Wealth Accumulation,High,Digital Wallet,North
375,59,Male,Tier 2,Salaried,16881,21279,45,Stocks,Yes,No,No,No Debt,14604,2,Yes,Home Purchase,Medium,Bank Account,West
376,25,Male,Tier 1,Salaried,179109,70610,18,None,No,Yes,Yes,Home Loan,17427,9,Yes,Education,Medium,Investment Platform,South
377,42,Female,Tier 2,Salaried,147702,63051,8,None,No,No,Yes,Home Loan,27201,6,No,Education,Medium,Bank Account,North
378,49,Female,Tier 3,Unemployed,35789,66652,33,None,Yes,No,Yes,Personal Loan,3042,5,No,Education,Low,Investment Platform,East
379,23,Female,Tier 1,Self-Employed,141083,75524,45,None,No,No,No,Personal Loan,49966,5,Yes,Education,Low,Digital Wallet,West
380,32,Male,Tier 3,Salaried,103059,16470,49,None,No,Yes,No,Home Loan,10386,3,Yes,Retirement,High,Digital Wallet,West
381,46,Male,Tier 1,Self-Employed,61151,63473,19,Stocks,Yes,No,Yes,Home Loan,11692,6,Yes,Education,High,Cash,Central
382,36,Other,Tier 3,Unemployed,194992,54439,32,Gold,No,Yes,Yes,No Debt,15225,4,Yes,Travel,Medium,Investment Platform,South
383,57,Male,Tier 3,Student,124388,24308,46,Mutual Funds,Yes,Yes,Yes,Home Loan,16693,10,No,Travel,High,Investment Platform,East
384,42,Male,Tier 3,Salaried,18262,101563,20,None,Yes,No,No,Personal Loan,6661,2,Yes,Retirement,Low,Bank Account,East
385,49,Male,Tier 1,Self-Employed,81981,45081,16,None,No,No,No,No Debt,43021,3,Yes,Education,Low,Investment Platform,Central
386,34,Female,Tier 3,Self-Employed,135951,19837,9,Mutual Funds,Yes,No,Yes,Credit Card Debt,18261,9,No,Business,Low,Digital Wallet,North
387,48,Female,Tier 2,Unemployed,138099,128128,38,Stocks,Yes,Yes,Yes,Personal Loan,27378,9,No,Education,Low,Cash,North
388,25,Male,Tier 1,Salaried,96972,122651,46,Fixed Deposit,Yes,Yes,Yes,Personal Loan,21219,6,No,Travel,High,Bank Account,East
389,50,Male,Tier 3,Student,90485,107624,5,Cryptocurrency,No,Yes,Yes,No Debt,11937,10,Yes,Home Purchase,High,Cash,South
390,25,Female,Tier 1,Self-Employed,69722,40063,43,Cryptocurrency,No,No,No,Credit Card Debt,794,10,Yes,Wealth Accumulation,High,Investment Platform,North
391,32,Female,Tier 3,Salaried,104499,79453,36,Fixed Deposit,Yes,No,Yes,Personal Loan,47366,9,Yes,Home Purchase,Medium,Investment Platform,West
392,36,Male,Tier 1,Student,196890,112166,30,Stocks,No,Yes,Yes,Home Loan,6786,4,Yes,Business,Low,Bank Account,Central
393,46,Female,Tier 2,Self-Employed,176004,24506,21,Cryptocurrency,No,No,No,Personal Loan,36782,5,Yes,Education,Low,Investment Platform,South
394,46,Male,Tier 2,Self-Employed,21901,123604,31,Mutual Funds,Yes,Yes,No,No Debt,40160,10,Yes,Retirement,Low,Cash,North
395,41,Male,Tier 1,Student,132473,36026,28,Fixed Deposit,Yes,Yes,Yes,No Debt,45313,6,Yes,Education,Medium,Digital Wallet,East
396,59,Female,Tier 1,Student,23597,62413,39,Gold,No,Yes,No,No Debt,38121,9,No,Business,Medium,Bank Account,Central
397,56,Male,Tier 1,Unemployed,144631,75066,46,Stocks,No,Yes,Yes,Personal Loan,36175,5,Yes,Business,High,Investment Platform,North
398,53,Female,Tier 2,Salaried,78909,60971,43,Fixed Deposit,No,Yes,No,Credit Card Debt,27032,8,No,Wealth Accumulation,High,Cash,East
399,50,Male,Tier 1,Salaried,87391,123978,30,Cryptocurrency,Yes,No,No,Home Loan,26427,1,Yes,Business,Low,Digital Wallet,North
400,57,Male,Tier 2,Unemployed,154335,60494,42,Stocks,Yes,Yes,Yes,No Debt,17358,5,No,Home Purchase,Low,Investment Platform,Central
401,43,Other,Tier 1,Self-Employed,78293,113864,27,Mutual Funds,Yes,No,No,Credit Card Debt,29790,10,Yes,Wealth Accumulation,Medium,Bank Account,West
402,30,Male,Tier 1,Student,171877,142151,26,Stocks,Yes,Yes,No,Home Loan,20621,1,No,Education,Low,Investment Platform,West
403,25,Female,Tier 2,Student,26874,105386,8,Stocks,Yes,No,Yes,No Debt,48821,10,Yes,Education,Medium,Investment Platform,East
404,56,Male,Tier 1,Student,101402,96126,13,Mutual Funds,No,No,Yes,Home Loan,28365,6,Yes,Retirement,Medium,Investment Platform,West
405,54,Male,Tier 3,Self-Employed,29079,90863,8,None,Yes,No,No,Home Loan,13189,7,No,Business,Low,Digital Wallet,Central
406,51,Male,Tier 3,Student,195922,88291,11,Mutual Funds,No,Yes,Yes,Credit Card Debt,11213,5,Yes,Business,Medium,Digital Wallet,East
407,30,Female,Tier 2,Student,87779,135659,27,Stocks,Yes,No,Yes,Home Loan,7248,1,Yes,Travel,Medium,Investment Platform,North
408,39,Male,Tier 2,Unemployed,110408,17235,6,Mutual Funds,Yes,No,No,No Debt,4369,6,No,Wealth Accumulation,High,Investment Platform,South
409,52,Female,Tier 3,Self-Employed,155090,92733,28,None,Yes,Yes,No,Credit Card Debt,8050,10,No,Travel,Low,Bank Account,North
410,21,Male,Tier 1,Salaried,135606,72712,44,Fixed Deposit,Yes,Yes,Yes,Personal Loan,28605,5,Yes,Wealth Accumulation,High,Investment Platform,Central
411,25,Other,Tier 1,Unemployed,195572,135849,35,Mutual Funds,Yes,Yes,Yes,Personal Loan,49616,6,Yes,Home Purchase,Medium,Cash,East
412,24,Male,Tier 1,Unemployed,135062,89823,35,Mutual Funds,No,No,Yes,Credit Card Debt,38183,10,Yes,Wealth Accumulation,Medium,Cash,North
413,36,Female,Tier 3,Salaried,27100,114215,44,Stocks,No,Yes,Yes,Personal Loan,15398,7,Yes,Education,Low,Bank Account,East
414,44,Female,Tier 1,Unemployed,72021,42230,47,Fixed Deposit,Yes,Yes,Yes,Home Loan,40883,7,No,Retirement,Medium,Digital Wallet,West
415,36,Female,Tier 2,Self-Employed,165872,94573,38,Gold,Yes,Yes,No,No Debt,33055,2,Yes,Wealth Accumulation,Medium,Investment Platform,South
416,22,Female,Tier 3,Student,143126,50644,28,Gold,No,Yes,Yes,Home Loan,3195,3,Yes,Wealth Accumulation,Medium,Bank Account,Central
417,48,Female,Tier 3,Self-Employed,107446,55203,30,Cryptocurrency,Yes,No,Yes,Credit Card Debt,25451,6,No,Wealth Accumulation,Medium,Digital Wallet,North
418,52,Female,Tier 2,Salaried,44437,76677,20,Mutual Funds,Yes,Yes,Yes,No Debt,7450,3,Yes,Retirement,Medium,Bank Account,South
419,47,Male,Tier 1,Salaried,192747,133246,17,Mutual Funds,Yes,No,No,Credit Card Debt,2925,2,Yes,Business,High,Digital Wallet,Central
420,40,Male,Tier 3,Unemployed,166014,94817,19,Fixed Deposit,No,No,Yes,Credit Card Debt,14515,4,Yes,Retirement,Low,Investment Platform,Central
421,44,Female,Tier 2,Self-Employed,35862,79806,31,None,Yes,Yes,Yes,Credit Card Debt,5310,5,Yes,Business,High,Bank Account,West
422,32,Female,Tier 1,Self-Employed,26669,52814,8,Gold,Yes,No,Yes,Home Loan,31817,10,Yes,Education,Low,Investment Platform,East
423,55,Female,Tier 1,Salaried,136219,80219,20,Cryptocurrency,No,Yes,Yes,No Debt,49598,9,Yes,Retirement,High,Bank Account,East
424,53,Female,Tier 3,Self-Employed,199844,105345,34,Fixed Deposit,Yes,No,Yes,No Debt,27408,3,Yes,Business,High,Digital Wallet,South
425,53,Male,Tier 2,Salaried,30916,110088,48,Mutual Funds,Yes,Yes,Yes,No Debt,44528,3,Yes,Education,Low,Bank Account,West
426,57,Male,Tier 3,Self-Employed,25878,79322,34,Gold,Yes,No,Yes,Home Loan,47664,6,Yes,Education,Medium,Cash,Central
427,32,Female,Tier 3,Self-Employed,17985,31650,40,Cryptocurrency,No,Yes,Yes,Personal Loan,19280,5,Yes,Business,Medium,Cash,West
428,23,Male,Tier 2,Self-Employed,56235,104242,7,Stocks,Yes,Yes,Yes,Home Loan,17105,6,Yes,Business,Low,Bank Account,West
429,21,Male,Tier 2,Salaried,33931,48196,26,Gold,No,No,Yes,Home Loan,18547,7,Yes,Home Purchase,Medium,Cash,South
430,53,Female,Tier 2,Unemployed,107876,39709,26,Cryptocurrency,No,Yes,Yes,Credit Card Debt,10774,3,Yes,Education,Low,Investment Platform,East
431,30,Male,Tier 1,Self-Employed,15336,90428,16,Fixed Deposit,Yes,No,Yes,No Debt,15457,5,Yes,Business,High,Cash,West
432,49,Female,Tier 2,Salaried,57933,19943,25,Stocks,No,Yes,Yes,No Debt,42311,8,Yes,Education,High,Cash,West
433,33,Male,Tier 3,Salaried,60536,31042,8,Cryptocurrency,Yes,No,Yes,Personal Loan,3980,4,Yes,Retirement,Medium,Investment Platform,West
434,32,Female,Tier 2,Self-Employed,84504,53894,35,Cryptocurrency,Yes,Yes,No,Personal Loan,20886,10,No,Travel,Medium,Investment Platform,North
435,51,Male,Tier 3,Self-Employed,114214,147941,48,Mutual Funds,Yes,No,Yes,Credit Card Debt,11576,2,Yes,Travel,Medium,Digital Wallet,West
436,22,Male,Tier 2,Unemployed,197220,66759,35,None,Yes,Yes,Yes,No Debt,31891,4,No,Wealth Accumulation,Low,Investment Platform,West
437,55,Male,Tier 2,Salaried,128936,115973,27,Gold,Yes,Yes,Yes,Personal Loan,36181,2,No,Business,Medium,Bank Account,Central
438,43,Male,Tier 2,Salaried,31279,54306,24,Mutual Funds,Yes,Yes,No,Personal Loan,33262,3,Yes,Business,Medium,Cash,North
439,37,Male,Tier 2,Student,118751,118369,19,Stocks,Yes,No,No,No Debt,947,4,Yes,Education,High,Digital Wallet,West
440,46,Male,Tier 2,Salaried,119433,38379,27,None,No,Yes,Yes,Home Loan,22,4,No,Wealth Accumulation,Medium,Investment Platform,West
441,28,Female,Tier 1,Unemployed,86386,130667,32,Cryptocurrency,Yes,No,Yes,Personal Loan,1128,10,Yes,Business,Medium,Cash,South
442,49,Male,Tier 2,Student,101124,144034,20,Mutual Funds,No,No,Yes,No Debt,13986,9,No,Education,Medium,Bank Account,South
443,46,Female,Tier 1,Student,120750,127626,41,None,Yes,Yes,Yes,Personal Loan,32322,10,Yes,Business,Low,Bank Account,North
444,30,Female,Tier 1,Student,92485,135180,25,Gold,Yes,No,Yes,Credit Card Debt,48929,6,Yes,Education,Medium,Digital Wallet,Central
445,46,Female,Tier 2,Self-Employed,89055,62349,19,Stocks,Yes,Yes,No,Personal Loan,16160,9,Yes,Business,Medium,Bank Account,North
446,54,Male,Tier 2,Self-Employed,106911,15730,21,Fixed Deposit,Yes,Yes,Yes,No Debt,49709,4,Yes,Home Purchase,Low,Cash,North
447,27,Female,Tier 3,Salaried,113618,29023,41,Mutual Funds,Yes,No,No,Personal Loan,9808,9,Yes,Education,Medium,Investment Platform,South
448,24,Male,Tier 2,Student,128892,136796,17,Stocks,No,No,Yes,Credit Card Debt,29612,9,Yes,Home Purchase,Medium,Bank Account,South
449,31,Male,Tier 2,Unemployed,86128,91533,23,Fixed Deposit,No,No,No,Credit Card Debt,21725,6,No,Home Purchase,Medium,Investment Platform,Central
450,49,Other,Tier 2,Self-Employed,164180,93286,34,Mutual Funds,No,Yes,No,Personal Loan,6998,5,No,Home Purchase,Medium,Cash,West
451,56,Male,Tier 2,Unemployed,67495,51979,49,Stocks,Yes,Yes,Yes,Personal Loan,39950,3,Yes,Home Purchase,Medium,Cash,Central
452,45,Female,Tier 1,Unemployed,97806,32837,22,Stocks,No,Yes,Yes,Credit Card Debt,23418,5,No,Retirement,Medium,Investment Platform,West
453,41,Female,Tier 1,Self-Employed,108185,114975,18,None,Yes,No,Yes,Credit Card Debt,18040,3,No,Wealth Accumulation,High,Cash,East
454,56,Female,Tier 1,Self-Employed,198581,30923,40,Mutual Funds,Yes,Yes,Yes,Home Loan,20557,5,No,Travel,Low,Digital Wallet,South
455,30,Female,Tier 2,Self-Employed,185591,18876,40,Stocks,No,No,Yes,Home Loan,21825,5,Yes,Retirement,High,Bank Account,East
456,57,Male,Tier 1,Self-Employed,64649,70973,24,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,8998,2,No,Business,Medium,Digital Wallet,East
457,29,Male,Tier 1,Student,180596,143959,23,Mutual Funds,Yes,Yes,Yes,Personal Loan,36080,9,Yes,Business,Medium,Digital Wallet,South
458,44,Female,Tier 1,Student,179957,52422,49,Stocks,Yes,Yes,No,No Debt,46097,7,Yes,Wealth Accumulation,Medium,Digital Wallet,East
459,55,Male,Tier 3,Student,190441,61413,48,None,Yes,Yes,Yes,Personal Loan,15802,6,No,Travel,Low,Investment Platform,North
460,55,Male,Tier 1,Student,110402,112484,11,Fixed Deposit,No,Yes,No,Personal Loan,11167,5,Yes,Travel,Low,Investment Platform,West
461,56,Male,Tier 2,Salaried,45676,143913,48,Fixed Deposit,Yes,No,Yes,Home Loan,35092,4,Yes,Travel,Medium,Cash,Central
462,38,Male,Tier 1,Student,79093,38756,8,Cryptocurrency,No,No,No,Home Loan,42407,8,No,Home Purchase,Medium,Investment Platform,South
463,59,Male,Tier 2,Self-Employed,193836,81576,38,Mutual Funds,Yes,Yes,Yes,Home Loan,13338,2,Yes,Retirement,Medium,Cash,North
464,52,Male,Tier 1,Unemployed,196871,128248,6,None,Yes,Yes,Yes,Credit Card Debt,10753,8,No,Business,Medium,Investment Platform,Central
465,44,Female,Tier 1,Student,94414,20304,9,Stocks,Yes,Yes,No,Credit Card Debt,5984,1,No,Retirement,Low,Cash,Central
466,43,Female,Tier 2,Salaried,108095,40341,14,Stocks,Yes,No,Yes,Personal Loan,18895,10,Yes,Retirement,Low,Bank Account,Central
467,52,Female,Tier 1,Self-Employed,87307,145830,36,Fixed Deposit,Yes,Yes,No,Personal Loan,47910,1,Yes,Retirement,Medium,Cash,East
468,57,Male,Tier 1,Unemployed,110432,137039,46,None,No,No,Yes,No Debt,43831,3,No,Travel,Low,Bank Account,East
469,32,Male,Tier 1,Unemployed,46923,142447,45,Cryptocurrency,No,Yes,Yes,Personal Loan,362,5,Yes,Wealth Accumulation,Medium,Cash,East
470,33,Male,Tier 1,Student,132449,109485,17,Fixed Deposit,No,Yes,Yes,Personal Loan,3454,6,No,Wealth Accumulation,Low,Investment Platform,East
471,43,Female,Tier 1,Unemployed,62574,32092,43,Fixed Deposit,No,No,No,Home Loan,21004,4,No,Travel,Medium,Investment Platform,North
472,45,Female,Tier 1,Student,189463,141562,9,Cryptocurrency,No,Yes,Yes,Home Loan,36023,7,Yes,Business,Low,Bank Account,East
473,55,Male,Tier 3,Student,136757,13729,14,Mutual Funds,Yes,No,No,Home Loan,17601,7,Yes,Business,Low,Digital Wallet,South
474,50,Female,Tier 2,Self-Employed,68664,147046,14,Stocks,No,Yes,No,Home Loan,5349,2,No,Business,Medium,Digital Wallet,Central
475,37,Male,Tier 2,Self-Employed,82384,128222,42,Mutual Funds,Yes,Yes,Yes,Home Loan,39963,2,Yes,Wealth Accumulation,Medium,Cash,North
476,40,Female,Tier 1,Salaried,46027,95216,31,None,Yes,Yes,Yes,No Debt,10047,2,Yes,Wealth Accumulation,Low,Investment Platform,East
477,45,Female,Tier 3,Self-Employed,181536,93860,25,Gold,Yes,No,No,No Debt,7750,2,No,Retirement,High,Digital Wallet,Central
478,42,Female,Tier 1,Self-Employed,49485,106870,12,Gold,Yes,No,Yes,No Debt,29393,9,No,Travel,Low,Investment Platform,North
479,33,Female,Tier 1,Student,165528,31398,5,Gold,Yes,Yes,Yes,Home Loan,22463,5,Yes,Home Purchase,Medium,Investment Platform,Central
480,39,Female,Tier 2,Self-Employed,50554,44650,32,Cryptocurrency,No,No,Yes,Credit Card Debt,9399,8,Yes,Retirement,Low,Investment Platform,North
481,56,Male,Tier 1,Student,61922,113889,43,Fixed Deposit,Yes,Yes,Yes,Home Loan,13686,5,Yes,Education,Low,Cash,West
482,32,Female,Tier 1,Student,28409,13159,18,Mutual Funds,Yes,Yes,Yes,Home Loan,40803,5,No,Wealth Accumulation,Medium,Bank Account,North
483,39,Male,Tier 2,Self-Employed,51639,108162,25,Stocks,Yes,Yes,Yes,No Debt,34275,1,No,Retirement,Low,Cash,East
484,32,Female,Tier 3,Salaried,34692,112834,34,Gold,Yes,Yes,No,Home Loan,22787,6,No,Travel,Medium,Digital Wallet,Central
485,29,Female,Tier 2,Salaried,104037,31638,25,Mutual Funds,Yes,Yes,Yes,No Debt,14776,4,Yes,Education,Low,Bank Account,Central
486,27,Female,Tier 2,Unemployed,33074,11073,13,Gold,Yes,No,Yes,Home Loan,29527,3,No,Retirement,Medium,Digital Wallet,Central
487,48,Male,Tier 3,Unemployed,161621,39320,21,Gold,Yes,Yes,No,Personal Loan,39351,6,No,Travel,Low,Bank Account,South
488,34,Female,Tier 1,Self-Employed,44963,44924,9,Stocks,Yes,Yes,No,Credit Card Debt,36695,2,Yes,Travel,Low,Bank Account,South
489,51,Female,Tier 1,Salaried,67265,78116,35,None,No,Yes,No,Credit Card Debt,15797,8,Yes,Wealth Accumulation,Low,Cash,East
490,39,Female,Tier 1,Student,31061,12159,44,None,No,No,Yes,No Debt,36999,1,No,Home Purchase,Medium,Investment Platform,West
491,36,Male,Tier 2,Unemployed,174882,58940,42,None,Yes,No,No,Personal Loan,5302,9,Yes,Retirement,Medium,Investment Platform,South
492,25,Male,Tier 2,Student,128502,89436,47,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,38059,8,Yes,Travel,High,Bank Account,North
493,55,Male,Tier 3,Unemployed,37800,24678,23,Fixed Deposit,Yes,Yes,Yes,No Debt,908,1,Yes,Business,Medium,Cash,East
494,32,Male,Tier 2,Self-Employed,131192,147844,40,Cryptocurrency,No,Yes,Yes,Home Loan,15123,10,Yes,Travel,Medium,Digital Wallet,West
495,45,Female,Tier 2,Salaried,122228,77163,37,Mutual Funds,Yes,Yes,Yes,Home Loan,12877,9,Yes,Home Purchase,Medium,Digital Wallet,North
496,41,Male,Tier 1,Unemployed,43054,61137,17,Cryptocurrency,Yes,Yes,No,Personal Loan,14239,2,Yes,Travel,Low,Investment Platform,Central
497,56,Other,Tier 3,Salaried,191469,71497,18,Mutual Funds,No,Yes,Yes,Credit Card Debt,21435,3,No,Wealth Accumulation,Low,Investment Platform,South
498,43,Male,Tier 3,Student,28233,110485,37,Mutual Funds,Yes,Yes,No,Home Loan,27313,2,No,Retirement,Medium,Digital Wallet,North
499,36,Male,Tier 3,Self-Employed,171140,115468,33,Fixed Deposit,Yes,Yes,No,No Debt,35354,8,No,Wealth Accumulation,Medium,Digital Wallet,West
500,59,Female,Tier 1,Salaried,80727,10901,47,Stocks,Yes,Yes,Yes,Home Loan,42103,2,Yes,Retirement,Low,Cash,East
501,59,Female,Tier 2,Self-Employed,105610,97980,40,Fixed Deposit,No,No,Yes,Home Loan,48408,10,No,Education,Medium,Digital Wallet,North
502,34,Female,Tier 1,Salaried,85453,117594,48,None,No,No,Yes,Credit Card Debt,17715,2,No,Retirement,Medium,Cash,East
503,51,Female,Tier 1,Student,119135,12881,14,None,No,No,Yes,Credit Card Debt,23235,1,Yes,Education,Medium,Investment Platform,Central
504,25,Female,Tier 1,Student,171904,39863,35,Cryptocurrency,Yes,Yes,Yes,No Debt,26129,7,Yes,Wealth Accumulation,Low,Digital Wallet,West
505,55,Male,Tier 2,Self-Employed,123464,146694,10,Mutual Funds,Yes,Yes,No,Personal Loan,10534,2,Yes,Business,Medium,Investment Platform,West
506,43,Other,Tier 2,Student,28682,142450,5,Gold,No,Yes,Yes,Personal Loan,34574,10,No,Home Purchase,Low,Bank Account,South
507,49,Other,Tier 1,Unemployed,169455,55201,11,Gold,No,No,Yes,Home Loan,43060,5,Yes,Business,Low,Bank Account,West
508,31,Female,Tier 1,Salaried,73160,69251,31,Mutual Funds,Yes,Yes,No,No Debt,17189,5,No,Education,Medium,Bank Account,North
509,38,Male,Tier 2,Student,38666,82572,25,Fixed Deposit,No,No,Yes,Personal Loan,20531,3,Yes,Travel,Low,Digital Wallet,North
510,32,Female,Tier 1,Unemployed,73817,49255,32,Stocks,Yes,No,No,Personal Loan,10967,3,Yes,Travel,Low,Investment Platform,North
511,29,Male,Tier 1,Self-Employed,106198,73212,20,Fixed Deposit,Yes,Yes,Yes,Home Loan,16455,3,No,Business,Low,Digital Wallet,Central
512,30,Male,Tier 2,Unemployed,180714,60210,27,Mutual Funds,No,No,Yes,No Debt,27,6,Yes,Travel,Medium,Investment Platform,West
513,37,Male,Tier 3,Self-Employed,56830,135629,24,Mutual Funds,Yes,Yes,Yes,Personal Loan,8660,4,Yes,Education,Low,Cash,West
514,58,Male,Tier 1,Self-Employed,25234,32499,42,Stocks,No,Yes,Yes,Credit Card Debt,25339,3,No,Wealth Accumulation,Low,Digital Wallet,North
515,27,Female,Tier 1,Salaried,72616,112552,29,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,39823,2,No,Home Purchase,Medium,Bank Account,South
516,33,Female,Tier 1,Salaried,24221,71360,32,Cryptocurrency,Yes,Yes,No,Home Loan,9616,3,Yes,Retirement,Medium,Cash,South
517,29,Female,Tier 3,Unemployed,157482,145675,9,Stocks,No,No,Yes,Home Loan,10440,4,Yes,Education,High,Investment Platform,West
518,47,Male,Tier 2,Salaried,16051,137466,25,Cryptocurrency,No,Yes,No,Home Loan,36600,6,Yes,Education,Low,Digital Wallet,West
519,22,Male,Tier 2,Salaried,125529,95473,22,Gold,Yes,Yes,Yes,Home Loan,48738,4,No,Retirement,Low,Investment Platform,East
520,25,Male,Tier 1,Salaried,91918,101873,10,Cryptocurrency,Yes,No,Yes,Personal Loan,13107,8,Yes,Retirement,Medium,Investment Platform,West
521,49,Other,Tier 2,Unemployed,93116,75756,33,Cryptocurrency,Yes,No,Yes,No Debt,28646,3,Yes,Home Purchase,Low,Digital Wallet,North
522,57,Male,Tier 1,Student,137226,66344,23,Cryptocurrency,Yes,Yes,No,Home Loan,46545,3,Yes,Home Purchase,High,Digital Wallet,Central
523,58,Female,Tier 2,Salaried,59757,148421,37,Gold,No,No,Yes,Home Loan,26251,3,No,Home Purchase,Medium,Investment Platform,West
524,39,Female,Tier 3,Salaried,136008,81154,5,Cryptocurrency,No,No,Yes,Personal Loan,15954,8,No,Travel,Low,Investment Platform,West
525,28,Male,Tier 2,Unemployed,197329,37464,49,None,Yes,Yes,No,Home Loan,16943,4,No,Education,Medium,Cash,North
526,21,Female,Tier 3,Student,146379,131897,7,Gold,Yes,Yes,Yes,Home Loan,40725,1,Yes,Wealth Accumulation,Low,Bank Account,East
527,42,Female,Tier 2,Salaried,71889,47344,46,Stocks,Yes,Yes,No,No Debt,45434,2,No,Retirement,High,Investment Platform,West
528,37,Female,Tier 1,Self-Employed,50944,93791,25,Fixed Deposit,No,No,Yes,Credit Card Debt,20215,10,Yes,Education,High,Bank Account,South
529,27,Female,Tier 3,Unemployed,114555,142534,39,Stocks,Yes,No,No,Home Loan,10110,2,Yes,Education,Medium,Cash,South
530,45,Male,Tier 1,Salaried,53134,130209,45,Fixed Deposit,Yes,No,No,Personal Loan,40112,3,No,Home Purchase,Low,Bank Account,South
531,24,Male,Tier 2,Salaried,173395,91441,44,Stocks,Yes,Yes,No,No Debt,21555,6,Yes,Home Purchase,Low,Bank Account,Central
532,56,Female,Tier 1,Self-Employed,40954,100456,7,None,Yes,Yes,Yes,Personal Loan,16462,8,Yes,Education,Low,Cash,Central
533,26,Female,Tier 1,Self-Employed,104959,91788,29,Fixed Deposit,Yes,Yes,Yes,No Debt,13696,1,No,Home Purchase,Low,Investment Platform,West
534,51,Male,Tier 2,Unemployed,19992,24175,49,Fixed Deposit,Yes,Yes,No,No Debt,1031,9,Yes,Travel,Medium,Bank Account,West
535,39,Female,Tier 1,Unemployed,16961,147263,42,Mutual Funds,No,No,Yes,Home Loan,23765,1,Yes,Retirement,High,Investment Platform,West
536,59,Female,Tier 2,Self-Employed,27497,93434,49,Fixed Deposit,No,No,Yes,Home Loan,47858,10,Yes,Education,Medium,Investment Platform,Central
537,47,Female,Tier 2,Unemployed,178623,94518,24,Fixed Deposit,No,Yes,No,Home Loan,15816,2,Yes,Retirement,Medium,Digital Wallet,West
538,30,Male,Tier 1,Self-Employed,28255,76537,48,Mutual Funds,Yes,Yes,Yes,Credit Card Debt,17868,3,No,Travel,Medium,Investment Platform,North
539,46,Female,Tier 1,Salaried,150639,125721,49,Cryptocurrency,Yes,Yes,Yes,Credit Card Debt,10437,7,Yes,Home Purchase,High,Investment Platform,East
540,39,Female,Tier 2,Self-Employed,63847,57645,38,Cryptocurrency,Yes,Yes,Yes,Personal Loan,15453,9,No,Business,Low,Bank Account,South
541,59,Male,Tier 1,Self-Employed,194075,33283,25,Mutual Funds,Yes,Yes,Yes,Home Loan,22222,3,Yes,Travel,Medium,Investment Platform,South
542,23,Male,Tier 2,Student,35389,96971,27,Gold,No,Yes,Yes,Credit Card Debt,14258,8,Yes,Business,Medium,Investment Platform,North
543,33,Other,Tier 2,Self-Employed,190595,102759,10,Fixed Deposit,Yes,Yes,No,Home Loan,34318,9,Yes,Retirement,High,Digital Wallet,West
544,48,Male,Tier 3,Self-Employed,138802,112780,17,Fixed Deposit,Yes,Yes,Yes,Credit Card Debt,12977,10,No,Education,High,Digital Wallet,Central
545,40,Female,Tier 2,Student,76576,40734,27,Mutual Funds,No,Yes,No,Credit Card Debt,37450,7,Yes,Home Purchase,Medium,Bank Account,West
546,48,Female,Tier 2,Unemployed,58919,10515,13,Mutual Funds,No,Yes,No,No Debt,47207,4,No,Travel,Low,Bank Account,West
547,28,Male,Tier 2,Student,18358,120782,21,Gold,Yes,No,No,Home Loan,18213,4,Yes,Home Purchase,Medium,Digital Wallet,South
548,59,Female,Tier 1,Salaried,103535,76727,6,None,Yes,Yes,Yes,Home Loan,36519,4,No,Business,Low,Digital Wallet,South
549,21,Male,Tier 1,Student,120982,119164,23,Cryptocurrency,Yes,No,No,Credit Card Debt,45682,6,No,Business,Medium,Cash,Central
550,23,Female,Tier 3,Salaried,20698,56216,23,Stocks,Yes,Yes,Yes,Home Loan,10223,4,No,Wealth Accumulation,Medium,Investment Platform,South
551,33,Male,Tier 2,Unemployed,81809,81833,11,None,Yes,Yes,Yes,Credit Card Debt,48166,5,No,Education,Medium,Bank Account,West
552,48,Female,Tier 3,Student,108079,68755,46,Cryptocurrency,Yes,Yes,No,Home Loan,39369,9,Yes,Business,High,Bank Account,North
553,45,Male,Tier 3,Student,70805,37856,46,Fixed Deposit,No,Yes,Yes,No Debt,20843,7,No,Education,Medium,Investment Platform,Central
554,53,Male,Tier 3,Unemployed,177421,83870,24,None,Yes,No,No,Home Loan,3856,8,Yes,Wealth Accumulation,Low,Investment Platform,North
